"Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","Processing_Date","Col_Location_Lat","Col_Location_Long","site","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_2","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2.1","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments"
"BC-40-2021","BC-40-2021","BC-40-21","BC-L-40","6/18/2021 (BC)","6/24/2021",60.73831,-144.5687,"BC",1.862,42.9,NA,3.8,NA,11.5,NA,6.8,28.5,"F","0.136","1-D3",10,0.5761,NA,NA,NA,NA,4.6,NA,NA,1.646,"1-C3","N","Y",5,"Y","Y",0.062,6.9,7.6,6.6,6.9,1.8,2.3,1.2,1.8,"","10/4/2021",112.2,"10/8/2021",35.3,"0.6854","0.3146",NA,"10/8/2021",2,0.305,955.4635,27.1877,"8.553705971",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-41-2021","BC-41-2021","BC-41-21","BC-L-41","7/8/2021 (BC)","7/24/2021",60.73831,-144.5687,"BC",2.19,45.2,NA,4.3,NA,13.1,NA,6.9,31.9,"F","0.148","3-A5",10,0.3738,NA,NA,NA,NA,4,NA,NA,1.966,"2-A5","N","Y",5,"Y","Y",0.078,9.2,9.1,6.4,8.9,3.7,5.3,3.3,4.8,"","9/27/2021",69,"10/1/2021",23.7,"0.6565","0.3435",NA,"10/5/2021",4,0.2655,923.3249,26.6856,"9.165923478",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-42-2021","BC-42-2021","BC-42-21","BC-L-42","7/8/2021 (BC)","7/24/2021",60.73831,-144.5687,"BC",2.43,49.9,NA,3.8,NA,11.8,NA,6.9,30.2,"F","0.152","3-B1",10,0.414,NA,NA,NA,NA,4.4,NA,NA,2.206,"2-A9","Y","Y",5,"Y","Y",0.074,9,8.5,5.1,8.1,2.3,4,1.8,3.5,"","10/4/2021",117.2,"10/8/2021",41.1,"0.6493","0.3507",NA,"10/8/2021",4,0.3305,923.3249,26.7827,"9.392226706",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-43-2021","BC-43-2021","BC-43-21","BC-L-43","7/8/2021 (BC)","7/24/2021",60.73831,-144.5687,"BC",2.164,46.7,NA,4.1,NA,12.2,NA,6.5,30.5,"F","0.112","3-B2",10,0.1996,NA,NA,NA,NA,3.8,NA,NA,1.966,"2-A10","N","Y",6,"Y","Y",0.052,8,6.7,6.4,6.6,3.8,5.8,3.9,4.1,"","9/27/2021",83,"10/4/2021",28.2,"0.6602","0.3398",NA,"10/5/2021",2,0.2934,955.4635,26.6235,"9.045574699",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-44-2021","BC-44-2021","BC-44-21","BC-L-44","7/8/2021 (BC)","7/23/2021",60.73831,-144.5687,"BC",2.368,46.1,NA,5.3,NA,12.3,NA,7.1,31,"M","0.042","2-C6",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.252,"1-F10","Y","Y",6,"Y","Y",0.022,6.3,6.6,6.1,6.6,1.9,3.5,2.6,3.2,"","9/27/2021",85,"10/1/2021",29.5,"0.6529","0.3471",NA,"10/5/2021",4,0.2868,923.3249,26.7043,"9.267962941",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-45-2021","BC-45-2021","BC-45-21","BC-L-45","7/8/2021 (BC)","7/24/2021",60.73831,-144.5687,"BC",1.762,41.4,NA,2.8,NA,11.2,NA,6.8,28.7,"F","0.138","3-B3",10,0.3523,NA,NA,NA,NA,4.2,NA,NA,1.552,"2-A11","N","Y",5,"Y","Y",0.064,3.4,3.7,3.1,2.9,2.6,4.1,1.2,1.6,"","9/27/2021",87,"10/1/2021",26.8,"0.6920","0.3080",NA,"10/5/2021",2,0.3052,955.4635,25.0496,"7.716428506",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-46-2021","BC-46-2021","BC-46-21","BC-L-46","7/8/2021 (BC)","7/24/2021",60.73831,-144.5687,"BC",2.244,47.4,NA,3.5,NA,12.1,NA,6.8,30.7,"F","0.17","3-B5",10,0.3948,NA,NA,NA,NA,4.25,NA,NA,2.004,"2-B1","N","Y",5,"Y","Y",0.074,3,2.8,2.6,1.7,0.8,1.2,1.4,0.9,"","9/27/2021",95,"10/1/2021",31.2,"0.6716","0.3284",NA,"10/5/2021",4,0.3209,923.3249,24.7605,"8.131869474",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-47-2021","BC-47-2021","BC-47-21","BC-L-47","7/8/2021 (BC)","7/24/2021",60.73831,-144.5687,"BC",1.898,44.5,NA,4.9,NA,11.3,NA,6.5,28.2,"M","0.068","3-B6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,"2-B2","N","Y",6,"Y","Y",0.032,7.3,5.7,6.7,5.3,4.5,4.7,2.8,3.9,"","9/27/2021",114,"10/1/2021",37.7,"0.6693","0.3307",NA,"10/5/2021",2,0.2791,955.4635,27.1564,"8.980669123",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-48-2021","BC-48-2021","BC-48-21","BC-L-48","7/8/2021 (BC)","7/23/2021",60.73831,-144.5687,"BC",2.31,47.1,NA,4.7,NA,12.4,NA,7.1,31.7,"M","0.05","2-C5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,"1-F9","N","Y",6,"Y","Y",0.028,7.4,8,7.8,8.5,2.8,6.2,3.1,6.1,"","9/27/2021",121,"10/1/2021",41.3,"0.6587","0.3413",NA,"10/5/2021",4,0.3354,923.3249,25.7988,"8.805706116",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-49-2021","BC-49-2021","BC-49-21","BC-L-49","7/8/2021 (BC)","7/24/2021",60.73831,-144.5687,"BC",2.172,46.8,NA,3.1,NA,11.6,NA,6.5,29.6,"F","0.136","3-B4",10,0.3098,NA,NA,NA,NA,4,NA,NA,1.954,"2-A12","N","Y",5,"Y","Y",0.07,6.5,7.6,6.2,6.2,4.4,3,1.7,1.9,"","9/27/2021",92,"10/1/2021",29.9,"0.6750","0.3250",NA,"10/5/2021",2,0.3456,955.4635,25.7946,"8.383245",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-50-2021","BC-50-2021","BC-50-21","BC-L-50","7/8/2021 (BC)","7/23/2021",60.73831,-144.5687,"BC",2.45,48.7,NA,4.8,NA,12.2,NA,7.5,30.5,"M","0.036","2-D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.342,"1-G5","Y","Y",5,"Y","Y",0.016,8.4,8.3,6.7,6.1,2.9,4.2,1.6,2.2,"","10/5/2021",88,"10/8/2021",28.4,"0.6773","0.3227",NA,"10/8/2021",2,0.3522,955.4635,27.0375,"8.725738636",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-51-2021","BC-51-2021","BC-51-21","BC-L-51","7/8/2021 (BC)","7/23/2021",60.73831,-144.5687,"BC",2.544,48,NA,5.5,NA,13,NA,7.4,32.6,"M","0.046","2-C7",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.394,"1-F11","N","Y",5,"Y","Y",0.022,6.4,5.5,3.7,5.7,2.2,3.2,2.2,1.8,"","10/4/2021",81.6,"10/7/2021",26.8,"0.6716","0.3284",NA,"10/8/2021",4,0.4261,923.3249,26.5413,"8.716995588",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-52-2021","BC-52-2021","BC-52-21","BC-L-52","7/8/2021 (BC)","7/24/2021",60.73831,-144.5687,"BC",1.4,39.5,NA,3.1,NA,9.9,NA,6,26.6,"F","0.086","3-B8",10,0.3831,NA,NA,NA,NA,4.3,NA,NA,1.264,"2-B4","N","Y",5,"Y","Y",0.04,6.1,6.1,5.8,4.8,2.8,3.4,3.1,3.8,"","10/4/2021",83.4,"10/7/2021",29,"0.6523","0.3477",NA,"10/8/2021",2,0.1921,955.4635,26.7011,"9.284555156",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-53-2021","BC-53-2021","BC-53-21","BC-L-53","7/8/2021 (BC)","7/23/2021",60.73831,-144.5687,"BC",2.274,45.6,NA,5,NA,12.5,NA,7.3,31.8,"M","0.048","2-D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.158,"1-G2","N","Y",5,"Y","Y",0.026,2.9,3.4,1.9,2.5,1.4,1.5,1.1,1.3,"","10/4/2021",87.5,"10/8/2021",28,"0.6800","0.3200",NA,"10/8/2021",4,0.3117,923.3249,26.1436,"8.365952",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-54-2021","BC-54-2021","BC-54-21","BC-L-54","7/8/2021 (BC)","7/23/2021",60.73831,-144.5687,"BC",0.614,30.1,NA,2.7,NA,8.7,NA,4.9,20.5,"M","0.06","2-C4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.542,"1-F8","NO READ","Y",5,"Y","Y",0.03,1,1.8,0.8,1.7,0.7,0.8,0.7,0.9,"","10/4/2021",56.8,"10/7/2021",14.7,"0.7412","0.2588",NA,"10/8/2021",2,0.2764,955.4635,23.9872,"6.20795493",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-55-2021","BC-55-2021","BC-55-21","BC-L-55","7/8/2021 (BC)","7/23/2021",60.73831,-144.5687,"BC",2.002,46.1,NA,4.3,NA,11.7,NA,6.4,29.7,"M","0.094","2-D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84,"1-G1","N","Y",5,"Y","Y",0.046,5.4,6.7,4.3,4.8,2.1,2.3,1.3,1.8,"","10/4/2021",81.2,"10/8/2021",26.2,"0.6773","0.3227",NA,"10/8/2021",4,0.287,923.3249,26.083,"8.41594335",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-56-2021","BC-56-2021","BC-56-21","BC-L-56","7/8/2021 (BC)","7/23/2021",60.73831,-144.5687,"BC",2.65,47.7,NA,6.2,NA,13.2,NA,7.5,32.4,"M","0.082","2-D4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.508,"1-G4","N","Y",5,"Y","Y",0.04,1,1,0.7,0.8,0.6,1.2,0.5,0.7,"","10/4/2021",117.4,"10/8/2021",32.7,"0.7215","0.2785",NA,"10/8/2021",2,0.2593,955.4635,24.6501,"6.865913714",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-57-2021","BC-57-2021","BC-57-21","BC-L-57","7/8/2021 (BC)","7/24/2021",60.73831,-144.5687,"BC",1.14,39,NA,3,NA,9.1,NA,5.8,23.5,"F","0.076","3-A7",10,0.3482,NA,NA,NA,NA,4,NA,NA,1.024,"2-A7","N","Y",5,"Y","Y",0.044,7.5,6.7,4.7,6,4.5,6.7,2.6,2.5,"","10/4/2021",79,"10/7/2021",24.4,"0.6911","0.3089",NA,"10/8/2021",4,0.3116,923.3249,26.697,"8.245655696",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-58-2021","BC-58-2021","BC-58-21","BC-L-58","7/8/2021 (BC)","7/23/2021",60.73831,-144.5687,"BC",2.364,48,NA,4.5,NA,12.8,NA,7,31.5,"M","0.056","2-C8",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24,"1-F12","N","Y",5,"Y","Y",0.03,4.7,4.8,4,4.3,1,1.8,0.8,1.2,"","10/4/2021",83.9,"10/7/2021",25,"0.7020","0.2980",NA,"10/8/2021",2,0.2917,955.4635,26.3691,"7.857300358",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-59-2021","BC-59-2021","BC-59-21","BC-L-59","7/8/2021 (BC)","7/24/2021",60.73831,-144.5687,"BC",1.548,42.8,NA,3,NA,10,NA,6.6,26.4,"F","0.11","3-B7",10,0.4809,NA,NA,NA,NA,5.05,NA,NA,1.388,"2-B3","N","Y",5,"Y","Y",0.048,7.3,6.3,6.3,5.4,3,4.6,2.9,4.1,"","10/4/2021",97.1,"10/8/2021",33.1,"0.6591","0.3409",NA,"10/8/2021",4,0.4367,923.3249,26.5385,"9.046594748",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-60-2021","BC-60-2021","BC-60-21","BC-L-60","7/8/2021 (BC)","7/23/2021",60.73831,-144.5687,"BC",2.85,49.4,NA,6.5,NA,13.2,NA,7.7,33.5,"M","0.076","2-D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.704,"1-G3","N","Y",5,"Y","Y",0.036,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,"","10/4/2021",80.5,"10/7/2021",22,"0.7267","0.2733",NA,"10/8/2021",2,0.279,955.4635,23.1759,"6.333786335",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KL-1-2021","KL-1-2021","KL-1-21","KL-L-1","7/5/2021 (KL)","7/23/2021",61.95150431,-145.3324535,"KL",1.942,45,NA,4.3,NA,11.3,NA,6.8,28.5,"M","0.064","2-B8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81,"1-F4","N","Y",5,"Y","Y",0.03,0.8,0.7,0.7,1,1,0.9,1.1,1.3,"","10/6/2021",91.8,"10/11/2021",23.3,"0.7462","0.2538",NA,"10/12/2021",4,0.4248,923.3249,23.1143,"5.866701416",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KL-2-2021","KL-2-2021","KL-2-21","KL-L-2","7/5/2021 (KL)","7/23/2021",61.95150431,-145.3324535,"KL",2.276,49,NA,7,NA,12.8,NA,7.1,30.6,"M","0.044","2-A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,"1-E3","N","Y",5,"Y","Y",0.024,0.5,0.5,0.6,0.5,0.4,0.6,1,1.1,"","10/6/2021",118.6,"10/11/2021",25.6,"0.7841","0.2159",NA,"10/12/2021",2,0.3845,955.4635,21.2564,"4.588227993",4,0.3751,923.3249,19.5435,"4.218495784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KL-3-2021","KL-3-2021","KL-3-21","KL-L-3","7/11/2021 (KL)","7/24/2021",61.95150431,-145.3324535,"KL",1.824,45.3,NA,4.2,NA,11.6,NA,6.8,27.9,"F","0.244","2-E6",5,0.2287,NA,NA,NA,NA,4.8,NA,NA,1.512,"1-H2","N","Y",5,"Y","Y",0.102,1.5,1.2,1.2,1.1,1.3,1.3,1.2,1.2,"","10/6/2021",128.9,"10/11/2021",33.6,"0.7393","0.2607",NA,"10/12/2021",2,0.3117,955.4635,25.2245,"6.575199379",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KL-4-2021","KL-4-2021","KL-4-21","KL-L-4","7/11/2021 (KL)","7/24/2021",61.95150431,-145.3324535,"KL",1.848,45.8,NA,4.9,NA,11,NA,6.6,28,"F","0.208","2-E2",5,0.2744,NA,NA,NA,NA,4.6,NA,NA,1.588,"1-G10","N","Y",5,"Y","Y",0.1,1.2,1.1,1.3,1.2,1.3,1.2,1.1,0.8,"","10/6/2021",123.4,"10/11/2021",32.6,"0.7358","0.2642",NA,"10/12/2021",4,0.3177,923.3249,23.6022,"6.235265154",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KL-5-2021","KL-5-2021","KL-5-21","KL-L-5","7/13/2021 (KL)","7/23/2021",61.95150431,-145.3324535,"KL",2.128,45.7,NA,5,NA,12.3,NA,7.3,29.7,"M","0.058","2-B7",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.004,"1-F3","N","Y",5,"Y","Y",0.028,0.9,0.8,0.7,0.9,0.5,1,0.6,1.4,"","10/6/2021",97.4,"10/11/2021",26.2,"0.7310","0.2690",NA,"10/12/2021",2,0.2668,955.4635,23.8007,"6.402241684",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KL-6-2021","KL-6-2021","KL-6-21","KL-L-6","7/13/2021 (KL)","7/24/2021",61.95150431,-145.3324535,"KL",1.582,44,NA,4.3,NA,10.5,NA,6.5,26.8,"F","0.168","2-E5",5,0.2523,NA,NA,NA,NA,4.95,NA,NA,1.352,"1-H1","N","Y",5,"Y","Y",0.086,1.8,1.7,1.2,1.3,1.7,1.2,0.6,1.1,"","10/6/2021",87.8,"10/11/2021",23.2,"0.7358","0.2642",NA,"10/12/2021",4,0.2005,923.3249,23.7654,"6.279695672",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KL-7-2021","KL-7-2021","KL-7-21","KL-L-7","7/13/2021 (KL)","7/23/2021",61.95150431,-145.3324535,"KL",2.322,48.2,NA,5,NA,12.2,NA,7.2,30.5,"M","0.056","2-C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.166,"1-F5","N","Y",5,"Y","Y",0.028,1.5,1.5,1.4,0.8,1,0.8,1.4,0.8,"","10/6/2021",90.4,"10/11/2021",26.5,"0.7069","0.2931",NA,"10/12/2021",2,0.2595,955.4635,24.6985,"7.240157633",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UKL-1-2021","UKL-1-2021","UKL-1-21","UKL-1","8/10/2021 (Upper Klutina)","9/3/2021",61.751416,-145.716282,"UKL",2.1,45.8,NA,7.6,NA,13.9,NA,7.5,31.8,"M","0.1","3-C7",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.862,"2-B11","N","Y",5,"Y","Y",0.05,0.7,0.9,1.1,1,1.2,0.5,1.1,0.4,"","10/6/2021",128.8,"10/11/2021",33.4,"0.7407","0.2593",NA,"10/12/2021",4,0.3324,923.3249,23.7464,"6.157839752",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA-1-2021","MA-1-2021","MA-1-21","MA-1","7/18/2021 (MA)","7/24/2021",61.73588,-145.72941806,"MA",2.022,43.6,NA,5.3,NA,13.6,NA,6.5,31.8,"F","0.378","2-F7",6,0.7286,NA,NA,NA,NA,6.2,NA,NA,1.582,"1-H11","N","Y",5,"Y","Y",0.176,1.1,1,1.3,0.9,0.8,0.8,0.9,1,"","10/6/2021",130.8,"10/11/2021",32.2,"0.7538","0.2462",NA,"10/12/2021",2,0.2932,955.4635,25.1648,"6.195004281",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA-2-2021","MA-2-2021","MA-2-21","MA-2","7/18/2021 (MA)","7/24/2021",61.73588,-145.72941806,"MA",1.928,43.3,NA,5,NA,12.5,NA,6.3,30.5,"F","0.374","2-F3",7,0.654,NA,NA,NA,NA,5.6,NA,NA,1.498,"1-H7","N","Y",5,"Y","Y",0.17,0.8,1,0.8,0.8,0.7,0.6,1,0.8,"","10/6/2021",141.9,"10/11/2021",36.2,"0.7449","0.2551",NA,"10/12/2021",4,0.2923,923.3249,24.3645,"6.215608879",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA-3-2021","MA-3-2021","MA-3-21","MA-3","7/18/2021 (MA)","7/23/2021",61.73588,-145.72941806,"MA",1.808,40.5,NA,7,NA,14.4,NA,6.5,31.6,"M","0.068","1-F1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.656,"1-D5","N","Y",5,"Y","Y",0.042,0.6,0.4,0.6,0.4,0.6,0.4,0.6,0.5,"","10/6/2021",109.5,"10/11/2021",24,"0.7808","0.2192",NA,"10/12/2021",2,0.3227,955.4635,22.8666,"5.011857534",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA-4-2021","MA-4-2021","MA-4-21","MA-4","7/18/2021 (MA)","7/23/2021",61.73588,-145.72941806,"MA",1.768,44.3,NA,7,NA,13.3,NA,6,30.3,"M","0.054","1-F3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,"1-D7","N","Y",5,"Y","Y",0.028,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.6,"","10/6/2021",117.3,"10/11/2021",25.4,"0.7835","0.2165",NA,"10/12/2021",4,0.2785,923.3249,20.4498,"4.428174936",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA-5-2021","MA-5-2021","MA-5-21","MA-5","7/18/2021 (MA)","7/23/2021",61.73588,-145.72941806,"MA",2.238,46.1,NA,8.4,NA,14.3,NA,6.3,33.9,"M","0.05","1-F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.106,"1-D6","N","Y",5,"Y","Y",0.024,0.6,0.4,0.7,0.5,0.6,0.5,0.6,0.5,"","10/6/2021",112,"10/11/2021",26.3,"0.7652","0.2348",NA,"10/12/2021",2,0.2094,955.4635,23.7454,"5.57592875",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA-6-2021","MA-6-2021","MA-6-21","MA-6","7/18/2021 (MA)","7/23/2021",61.73588,-145.72941806,"MA",2.678,50,NA,8.4,NA,16.8,NA,6.7,36.8,"M","0.066","1-F4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.494,"1-D8","N","Y",5,"Y","Y",0.034,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,"","10/6/2021",131.9,"10/11/2021",29.3,"0.7779","0.2221",NA,"10/12/2021",4,0.3282,923.3249,22.3332,"4.961052009",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA-7-2021","MA-7-2021","MA-7-21","MA-7","7/18/2021 (MA)","7/24/2021",61.73588,-145.72941806,"MA",1.752,43.2,NA,4.8,NA,12.5,NA,6.6,29,"F","0.336","2-F4",6,0.499,NA,NA,NA,NA,5.65,NA,NA,1.378,"1-H8","N","Y",5,"Y","Y",0.15,0.6,0.6,0.5,0.7,0.6,0.6,0.5,0.7,"","10/6/2021",123.1,"10/11/2021",27.8,"0.7742","0.2258",NA,"10/12/2021",2,0.2709,955.4635,23.6048,"5.330734687",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA-8-2021","MA-8-2021","MA-8-21","MA-8","7/18/2021 (MA)","7/23/2021",61.73588,-145.72941806,"MA",2.33,47.3,NA,7.6,NA,16,NA,6,35.4,"M","0.048","1-F5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18,"1-D9","N","Y",5,"Y","Y",0.024,0.6,0.5,0.5,0.5,0.6,0.7,0.6,0.7,"","10/6/2021",92.8,"10/11/2021",21.4,"0.7694","0.2306",NA,"10/12/2021",4,0.2015,923.3249,22.2291,"5.126107112",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA-9-2021","MA-9-2021","MA-9-21","MA-9","7/18/2021 (MA)","7/24/2021",61.73588,-145.72941806,"MA",1.874,45.2,NA,3.8,NA,12.3,NA,7.2,30.4,"F","0.356","3-A4",10,1.2,NA,NA,NA,NA,5.95,NA,NA,1.474,"2-A4","N","Y",5,"Y","Y",0.202,0.5,0.8,0.4,1,0.5,1.1,0.5,1.3,"","10/6/2021",109.4,"10/11/2021",25.7,"0.7651","0.2349",NA,"10/12/2021",2,0.3686,955.4635,23.264,"5.465126143",4,0.3181,923.3249,21.2536,"4.992847532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA-10-2021","MA-10-2021","MA-10-21","MA-10","7/18/2021 (MA)","7/24/2021",61.73588,-145.72941806,"MA",1.686,43.3,NA,3.7,NA,11.3,NA,6.8,28.2,"F","0.33","3-A8",10,1.1884,NA,NA,NA,NA,6.05,NA,NA,1.292,"2-A8","N","Y",5,"Y","Y",0.148,0.5,1,0.5,0.8,0.4,0.6,0.5,0.7,"","10/6/2021",83.1,"10/11/2021",20.9,"0.7485","0.2515",NA,"10/12/2021",4,0.3308,955.4635,23.6591,"5.950363297",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA-11-2021","MA-11-2021","MA-11-21","MA-11","8/10/2021 (MA)","9/3/2021",61.73588,-145.72941806,"MA",2.274,46.6,NA,8.8,NA,16.5,NA,5.8,35.1,"M","0.046","3-D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11,"2-C5","N","Y",5,"Y","Y",0.024,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.6,"","10/6/2021",112,"10/11/2021",19.9,"0.8223","0.1777",NA,"10/12/2021",2,0.2298,923.3249,17.78,"3.159125",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA-12-2021","MA-12-2021","MA-12-21","MA-12","8/10/21 (MA)","9/5/2021",61.73588,-145.72941806,"MA",0.932,40.2,NA,3.2,NA,9.5,NA,4.3,22.4,"F","","4-D4",8,0.4546,NA,NA,NA,NA,4.6,NA,NA,0.856,"2-G4","N","Y",5,"Y","N",NA,0.4,0.4,0.4,0.4,0.4,0.5,0.8,0.5,"Partial Spawned","10/6/2021",73,"10/11/2021",13.3,"0.8178","0.1822",NA,"10/12/2021",4,0.236,955.8343,20.4226,"3.720829863",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA-13-2021","MA-13-2021","MA-13-21","MA-13","8/10/2021 (MA)","9/4/2021",61.73588,-145.72941806,"MA",0.712,36,NA,3.1,NA,9.2,NA,4.1,20.8,"F","","4-A1",10,0.5562,NA,NA,NA,NA,3.7,NA,NA,0.606,"2-E1","N","Y",6,"Y","N",NA,0.4,0.4,0.3,0.4,0.4,0.4,0.8,0.4,"","10/6/2021",59.3,"10/11/2021",13,"0.7808","0.2192",NA,"10/12/2021",2,0.2429,923.3249,17.2273,"3.776642496",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
