Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Year,Collection_Date,RunTimingGroup,Collection_Location,CollLoc_Distance.m,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP.,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass.guts_Wt,Oto_Well_ID,Strontium_marked_Y.N,Scales_Y.N,Scales_num,Fish_Ground_Y.N,Gonad_Saved_Y.N,Gonad_Saved_wt,Fat_Meter_1._L,Fat_Meter_1._R,Fat_Meter_2._L,Fat_Meter_2._R,Fat_Meter_3._L,Fat_Meter_3._R,Fat_Meter_4._L,Fat_Meter_4._R,Dissect_Comments,Date_LabDryStart,Fish.BagWt_g,Date_LabDryFinal,DryFish.BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ.kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ.kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ.kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ.kg_4,EnergyPDry_4,BC_comments,Mod2.PC1,Mod2.PC2,Mod2.PC3,Mod2.PC4
CC-11-2019,CC11-2019,CC-11-19,CC11,2019,6/7/19,Early,Canyon Creek,128939.07,7/20/19,61.40097,-144.51765,2.246,47.6,47.8,5,5.5,12.3,14.6,NA,31.6,F,0.11,N/A,50,2.437,86,4.3318,107,4.4964,3,3.5,3.2,2.054,NA lost,N,Y,NA,Y,Y,0.046,12,8.5,12.1,9,6.4,5.8,2.8,2,,10/2/19,167.5,10/7/19,57,0.6597,0.3403,NA,10/19/19,2,0.3781,924.0889,26.7957,9.118536716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.071255727,-0.278061078,-0.041616611,-0.300645297
CC-12-2019,CC12-2019,CC-12-19,CC12,2019,6/2/19,Early,Canyon Creek,128939.07,7/20/19,61.40097,-144.51765,1.552,42.4,43.4,4.3,4.6,11.4,14.4,NA,28.9,M,0.16,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.332,1-A7,N,Y,6,Y,,0.076,6.6,8.5,8,9.9,5.9,5.7,1.8,1.8,,10/2/19,133.4,10/7/19,43.3,0.6754,0.3246,NA,10/19/19,4,0.4179,923.5644,26.3229,8.54408973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.688553473,-0.076745325,0.25790006,0.175056832
CC-13-2019,CC13-2019,CC-13-19,CC13,2019,6/2/19,Early,Canyon Creek,128939.07,7/20/19,61.40097,-144.51765,2.728,47.8,49.3,6.7,7.3,14.2,15.5,NA,35.6,M,0.108,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.518,1-B2,N,Y,5,Y,Y,0.058,4.8,4.2,5.4,4,3.4,2.7,1.2,1.3,,10/2/19,242.3,10/7/19,78.4,0.6764,0.3236,NA,10/19/19,2,0.3473,924.0889,26.804,8.67285844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.123739126,-0.720924213,0.790094679,0.719399592
CC-14-2019,CC14-2019,CC-14-19,CC14,2019,6/2/19,Early,Canyon Creek,128939.07,7/20/19,61.40097,-144.51765,1.542,42.2,42.7,4.1,4.4,11.1,12.5,NA,28.3,F,0.202,N/A,71,6.7367,39,4.2683,31,3.407,4.6,4.2,4.9,1.264,1-A8,N,Y,6,Y,,0.118,7.8,5,5.8,4,4.3,3.8,2.1,1.4,,10/2/19,154.9,10/7/19,48.8,0.685,0.315,NA,10/19/19,4,0.3075,923.5644,25.9787,8.184380633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.001091881,-0.049100313,0.190361312,0.051701138
CC-15-2019,CC15-2019,CC-15-19,CC15,2019,6/2/19,Early,Canyon Creek,128939.07,7/20/19,61.40097,-144.51765,2.532,49.1,49.8,4.8,5.2,13.5,15.9,NA,33.1,F,0.2,N/A,81,5.1904,74,4.5571,46,3.8156,4.3,4.3,4.1,2.224,1-A12,N,Y,5,Y,Y,0.104,6.5,6.2,5.1,6.3,4.8,4.7,2.7,1.7,,10/2/19,257.6,10/7/19,82.9,0.6782,0.3218,NA,10/19/19,2,0.3005,924.0889,26.0929,8.397132803,4,0.3661,923.5644,25.4357,8.185634821,2,0.4875,924.0889,26.8773,8.649565877,4,0.3845,923.4282,25.9734,8.358675699,NA,1.845764069,0.230932548,-0.504797464,-0.024050559
CC-16-2019,CC16-2019,CC-16-19,CC16,2019,6/2/19,Early,Canyon Creek,128939.07,7/20/19,61.40097,-144.51765,2.01,45.3,45.5,4.7,5.3,12.7,14.7,NA,31.3,F,0.178,N/A,40,2.4553,39,2.4729,48,2.7325,4,3.9,4,1.748,1-A10,N,Y,NA,Y,Y,0.076,10.3,14,6.1,9.2,5.6,6.1,1.8,2.6,,10/2/19,175.2,10/7/19,60.5,0.6547,0.3453,NA,10/19/19,2,0.3666,924.0889,26.7736,9.245449772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71842666,0.060731634,-0.012355069,0.29541611
CC-17-2019,CC17-2019,CC-17-19,CC17,2019,6/2/19,Early,Canyon Creek,128939.07,7/20/19,61.40097,-144.51765,1.708,43.7,44.8,5,5.6,11.8,12.9,NA,28,M,0.108,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.558,1-A6,N,Y,5,Y,Y,0.58,3.4,4.1,3,3,1.7,2.2,0.9,1.2,,10/2/19,196.6,10/7/19,58,0.705,0.295,NA,10/19/19,4,0.314,923.4282,23.8702,7.042073245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.102893468,-0.741617198,0.183561386,0.307913705
CC-18-2019,CC18-2019,CC-18-19,CC18,2019,6/2/19,Early,Canyon Creek,128939.07,7/20/19,61.40097,-144.51765,2.306,46.7,47.4,5.7,6.3,13.6,15.2,NA,32.6,M,0.048,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.194,1-B1,N,Y,5,Y,Y,0.28,5.8,6.2,6.5,5.9,5.4,4.7,2,1.5,,10/2/19,160.1,10/7/19,51.8,0.6765,0.3235,NA,10/19/19,2,0.4571,924.0889,25.6129,8.286997002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.908665459,-0.437971556,0.207314536,0.606955634
CC-19-2019,CC19-2019,CC-19-19,CC19,2019,6/2/19,Early,Canyon Creek,128939.07,8/6/19,61.40097,-144.51765,1.688,42.7,43,4.6,5.2,11.2,12.7,5.8,29.6,M,0.056,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.536,1-F5,N,Y,5,Y,Y,0.028,3.7,4.5,2.7,4.1,2.1,2.2,1.2,1.4,,10/2/19,156.8,10/7/19,50.4,0.6786,0.3214,NA,10/19/19,4,0.4135,923.4282,25.243,8.113821429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.503686849,-0.249591397,0.519482179,0.019172025
CC-20-2019,CC20-2019,CC-20-19,CC20,2019,6/2/19,Early,Canyon Creek,128939.07,7/21/19,61.40097,-144.51765,2.55,49.7,50.2,6.8,7,13.2,14.7,NA,32.4,M,0.05,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.404,1-B4,N,Y,5,Y,Y,0.026,8.9,7.9,9.4,8.2,6.2,5.6,2.6,2.3,,10/2/19,136,10/7/19,46.8,0.6559,0.3441,NA,10/19/19,2,0.3843,924.0889,26.8471,9.238560882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.690611834,-1.500394794,0.412769829,0.026338938
CC-21-2019,CC21-2019,CC-21-19,CC21,2019,6/19/19,Middle,Canyon Creek,128939.07,8/8/19,61.40097,-144.51765,1.156,37.8,38.8,3.3,3.7,6,11.3,4.9,24.1,F,0.144,N/A,48,3.4487,61,4.7269,44,3.3102,4.2,4.5,4.4,0.956,1-H2,N,Y,5,Y,Y,0.076,2.3,3.4,1.9,2.5,1.7,1.6,1,1,,10/8/19,106.9,10/17/19,33.1,0.6904,0.3096,NA,10/19/19,4,0.2623,923.4282,23.8698,7.390929654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.549314316,-0.679685882,1.328802377,-1.819822231
CC-22-2019,CC22-2019,CC-22-19,CC22,2019,6/19/19,Middle,Canyon Creek,128939.07,7/21/19,61.40097,-144.51765,1.968,45.3,46.5,5,5.5,11.8,13.7,NA,29.9,M,0.086,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.804,1-B5,N,Y,5,Y,Y,0.048,4.4,4.2,4.2,3,2.5,2.1,1.2,0.9,no collection location data with carcass,10/8/19,210.4,10/17/19,62,0.7053,0.2947,NA,10/29/19,2,0.3645,924.0889,25.2043,7.427122624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.343413351,-0.520997249,0.208235645,-0.075034521
CC-23-2019,CC23-2019,CC-23-19,CC23,2019,6/19/19,Middle,Canyon Creek,128939.07,7/21/19,61.40097,-144.51765,2.04,47.5,48.5,6.1,6.5,12.4,13.5,NA,29.6,M,0.066,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.904,1-B7,N,Y,5,Y,Y,0.034,2,2.9,2,NA,1.1,1.3,0.9,0.9,"no location dataw/ carcass, gash on fish ommitted",10/17/19,143,10/23/19,40.7,0.7154,0.2846,NA,10/29/19,4,0.3787,923.4282,24.4263,6.952100769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.399506645,-1.411407007,0.228926155,0.031651662
CC-24-2019,CC24-2019,CC-24-19,CC24,2019,6/19/19,Middle,Canyon Creek,128939.07,8/7/19,61.40097,-144.51765,1.922,43.6,44.4,3.5,4.3,11.8,12.3,6.7,30.5,F,0.208,N/A,48,4.4344,46,4.5046,53,5.9282,5,4.7,5.1,1.616,1-G6,N,Y,5,Y,Y,0.098,4.2,2.9,3.9,2.7,1.7,1.6,1.6,1.3,,10/17/19,167.3,10/23/19,49.4,0.7047,0.2953,NA,10/29/19,2,0.2882,924.0889,25.3818,7.494685714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.555595198,0.800518385,-0.221063885,-0.017730471
CC-25-2019,CC25-2019,CC-25-19,CC25,2019,6/19/19,Middle,Canyon Creek,128939.07,7/21/19,61.40097,-144.51765,2.388,50.8,51.6,4.7,5.6,12.3,14.3,NA,31.1,F,0.158,N/A,53,2.267,56,2.1292,78,2.7756,3.3,3,3.1,2.138,1-B3,N,Y,5,Y,Y,0.074,9.3,5.7,6.8,5.6,4.8,2.7,1.8,1.8,,10/8/19,140.7,10/17/19,47.7,0.661,0.339,NA,10/29/19,4,0.3003,923.4282,25.7515,8.730252665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.341053218,-0.239027064,-0.732418218,-0.881521904
CC-26-2019,CC26-2019,CC-26-19,CC26,2019,6/19/19,Middle,Canyon Creek,128939.07,8/7/19,61.40097,-144.51765,1.994,43.3,45.5,5,5.4,12.2,12.4,6,30.2,M,0.062,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.848,1-G4,N,Y,5,Y,Y,0.032,1.6,1.6,1.4,1.5,1.3,1.3,0.9,1,,10/8/19,175.6,10/17/19,48.4,0.7244,0.2756,NA,11/5/19,4,0.318,923.4282,24.0224,6.6212082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24480561,-0.338516574,0.427677675,0.478577351
CC-27-2019,CC27-2019,CC-27-19,CC27,2019,6/19/19,Middle,Canyon Creek,128939.07,7/21/19,61.40097,-144.51765,1.82,45.1,45.7,5.4,5.6,12.4,13.5,NA,29.4,M,0.094,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,1-B6,N,Y,5,Y,Y,0.052,4.4,3.1,3.8,2.4,2,2.3,1.4,1.1,,10/8/19,132.6,10/17/19,40.2,0.6968,0.3032,NA,11/5/19,2,0.4357,924.0889,25.0554,7.595980995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691017527,-0.805062431,0.199043071,0.367471898
CC-28-2019,CC28-2019,CC-28-19,CC28,2019,6/19/19,Middle,Canyon Creek,128939.07,7/21/19,61.40097,-144.51765,1.896,45.2,45.8,5.6,5.7,11.7,13.2,NA,29.3,M,0.08,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.748,1-B8,N,Y,7,Y,Y,0.044,1.6,1.2,1.4,1.1,1,1,0.8,0.8,,10/8/19,174.1,10/17/19,57.8,0.668,0.332,NA,11/5/19,4,0.3798,923.4282,25.4629,8.453507295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508327418,-1.089073852,0.474212525,0.004729634
CC-29-2019,CC29-2019,CC-29-19,CC29,2019,6/19/19,Middle,Canyon Creek,128939.07,7/21/19,61.40097,-144.51765,1.744,43.5,44.3,4.3,4.7,11.6,13.1,NA,29.7,F,0.17,N/A,73,4.5324,52,3.1023,54,3.5869,3.7,4.1,4.3,1.512,1-B9,N,Y,6,Y,Y,0.076,8.9,10.2,6.8,8,6.6,5.5,3.5,3.5,,10/8/19,163.7,10/17/19,52.9,0.6768,0.3232,NA,11/5/19,2,0.4396,924.0889,26.6648,8.616786316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.357660258,0.031384077,0.14791692,0.04668554
CC-30-2019,CC30-2019,CC-30-19,CC30,2019,6/19/19,Middle,Canyon Creek,128939.07,8/8/19,61.40097,-144.51765,1.386,38.8,40.4,3.6,4.2,10.9,11.6,5.6,26.6,F,0.188,N/A,32,3.088,39,4.7198,45,5.0096,4.7,4.4,4.8,1.128,1-H3,N,Y,5,Y,Y,0.09,2.2,2.2,2.2,2.1,1.7,1.3,1.3,1.2,,10/8/19,120.7,10/17/19,35.2,0.7084,0.2916,NA,11/10/19,4,0.3216,923.4282,25.4453,7.42066744,2,0.2813,924.0889,24.3311,7.095730903,4,0.2626,923.4282,24.5339,7.154873902,NA,NA,NA,NA,NA,NA,-2.008298207,0.185999733,0.261543533,0.563386372
CC-31-2019,CC31-2019,CC-31-19,CC31,2019,6/19/19,Middle,Canyon Creek,128939.07,8/7/19,61.40097,-144.51765,2.896,49.6,49.9,5.3,5.7,13.3,15.1,6.7,34.2,M,0.044,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.728,1-G7,N,Y,5,Y,Y,0.022,9.5,8,8,9.4,5.5,5,2.1,2.6,,10/17/19,184.8,10/23/19,61,0.6699,0.3301,NA,11/10/19,4,0.479,923.4282,26.5032,8.748350649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.200111577,-0.046121551,-0.116428354,-0.208235056
CC-32-2019,CC32-2019,CC-32-19,CC32,2019,6/19/19,Middle,Canyon Creek,128939.07,8/8/19,61.40097,-144.51765,1.86,43.8,44.2,4.8,5.1,11.3,11.4,5.9,28.7,M,0.038,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74,1-H5,N,Y,5,Y,Y,0.018,5.3,6.2,5,5.8,2.4,3.2,1.9,1.4,,10/17/19,121.1,10/23/19,39.6,0.673,0.327,NA,11/10/19,2,0.347,923.6164,26.701,8.731293146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.307024784,-0.56435668,0.307413511,-0.045272302
CC-33-2019,CC33-2019,CC-33-19,CC33,2019,6/19/19,Middle,Canyon Creek,128939.07,8/8/19,61.40097,-144.51765,2.472,47.7,48,5.2,5.7,13.3,13.2,6.2,32.3,M,0.062,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-H4,N,Y,5,Y,Y,0.028,6.5,6.1,5.9,6.3,3,4.3,2.2,2.2,,10/17/19,201.5,10/23/19,66.8,0.6685,0.3315,NA,11/10/19,4,0.4173,923.4282,26.6568,8.837093002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.662057804,-0.177512529,-0.147762634,0.213609637
CC-34-2019,CC34-2019,CC-34-19,CC34,2019,6/19/19,Middle,Canyon Creek,128939.07,8/8/19,61.40097,-144.51765,2.294,48.6,49,4.9,5.4,12,14.1,6.2,30.9,M,0.036,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.158,1-G11,N,Y,5,Y,Y,0.014,3.3,3.9,1.8,3.5,1.8,1.7,1.1,1.2,,10/17/19,181.8,10/23/19,54.6,0.6997,0.3003,NA,11/10/19,2,0.3334,923.6164,24.8451,7.461729703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.971194656,-0.388394295,-0.248414933,-0.616537313
CC-35-2019,CC35-2019,CC-35-19,CC35,2019,6/19/19,Middle,Canyon Creek,128939.07,8/6/19,61.40097,-144.51765,1.944,44.9,49.8,4,5.4,10.3,13.4,5.7,29.2,F,0.176,N/A,67,4.1803,49,3.7597,56,3.7773,4.4,4.7,4.1,1.672,1- F2,N,Y,5,Y,Y,0.084,7.1,6.7,7.1,6.2,4.6,2.2,2.2,1.4,small bite mark on right side size of quarter,10/17/19,212.6,10/23/19,66.8,0.6858,0.3142,NA,11/10/19,4,0.3044,923.4282,27.572,8.663262465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.874905237,-0.065262239,0.096847757,-0.919318065
CC-36-2019,CC36-2019,CC-36-19,CC36,2019,6/19/19,Middle,Canyon Creek,128939.07,8/8/19,61.40097,-144.51765,1.672,40.9,41.4,3,3.5,11.8,11.5,6.6,28.7,F,0.174,N/A,31,3.2515,42,3.9067,47,4.1473,4.5,5,4.5,1.44,1-H8,N,Y,5,Y,Y,0.08,3.5,3.3,2.6,3.1,2,1.4,1,0.8,,10/17/19,238.7,10/23/19,73.8,0.6908,0.3092,NA,11/10/19,2,0.3456,923.6164,24.1611,7.470000754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.390873087,1.025739034,-0.324142046,0.483781809
